,start_date,end_date,begin_date,finish_date,duration
583,6/10/2013 13:34,6/11/2013 13:13,2013-06-10 13:34:00,2013-06-11 13:13:00,0 days 23:39:00.000000000
584,9/28/2012 18:23,9/29/2012 18:00,2012-09-28 18:23:00,2012-09-29 18:00:00,0 days 23:37:00.000000000
611,9/22/2011 17:11,9/23/2011 16:34,2011-09-22 17:11:00,2011-09-23 16:34:00,0 days 23:23:00.000000000
612,8/8/2012 17:08,8/9/2012 16:31,2012-08-08 17:08:00,2012-08-09 16:31:00,0 days 23:23:00.000000000
616,10/24/2011 19:31,10/25/2011 18:51,2011-10-24 19:31:00,2011-10-25 18:51:00,0 days 23:20:00.000000000
637,6/21/2012 21:49,6/22/2012 21:04,2012-06-21 21:49:00,2012-06-22 21:04:00,0 days 23:15:00.000000000
665,10/25/2011 17:33,10/26/2011 16:34,2011-10-25 17:33:00,2011-10-26 16:34:00,0 days 23:01:00.000000000
671,10/13/2012 12:51,10/14/2012 11:46,2012-10-13 12:51:00,2012-10-14 11:46:00,0 days 22:55:00.000000000
677,9/24/2011 21:53,9/25/2011 20:42,2011-09-24 21:53:00,2011-09-25 20:42:00,0 days 22:49:00.000000000
702,11/14/2012 19:42,11/15/2012 18:21,2012-11-14 19:42:00,2012-11-15 18:21:00,0 days 22:39:00.000000000
704,4/15/2013 17:32,4/16/2013 16:10,2013-04-15 17:32:00,2013-04-16 16:10:00,0 days 22:38:00.000000000
708,10/2/2012 10:51,10/3/2012 9:27,2012-10-02 10:51:00,2012-10-03 09:27:00,0 days 22:36:00.000000000
709,11/7/2011 20:43,11/8/2011 19:19,2011-11-07 20:43:00,2011-11-08 19:19:00,0 days 22:36:00.000000000
712,10/11/2011 18:21,10/12/2011 16:54,2011-10-11 18:21:00,2011-10-12 16:54:00,0 days 22:33:00.000000000
747,9/27/2011 14:33,9/28/2011 12:42,2011-09-27 14:33:00,2011-09-28 12:42:00,0 days 22:09:00.000000000
776,10/19/2011 13:41,10/20/2011 11:37,2011-10-19 13:41:00,2011-10-20 11:37:00,0 days 21:56:00.000000000
792,10/18/2012 10:15,10/19/2012 8:00,2012-10-18 10:15:00,2012-10-19 08:00:00,0 days 21:45:00.000000000
794,11/25/2012 9:12,11/26/2012 6:56,2012-11-25 09:12:00,2012-11-26 06:56:00,0 days 21:44:00.000000000
807,10/20/2012 19:17,10/21/2012 16:57,2012-10-20 19:17:00,2012-10-21 16:57:00,0 days 21:40:00.000000000
822,10/13/2011 18:47,10/14/2011 16:18,2011-10-13 18:47:00,2011-10-14 16:18:00,0 days 21:31:00.000000000
825,9/23/2011 16:53,9/24/2011 14:23,2011-09-23 16:53:00,2011-09-24 14:23:00,0 days 21:30:00.000000000
832,5/13/2012 17:05,5/14/2012 14:30,2012-05-13 17:05:00,2012-05-14 14:30:00,0 days 21:25:00.000000000
853,8/22/2011 23:03,8/23/2011 20:12,2011-08-22 23:03:00,2011-08-23 20:12:00,0 days 21:09:00.000000000
863,4/21/2013 17:05,4/22/2013 14:12,2013-04-21 17:05:00,2013-04-22 14:12:00,0 days 21:07:00.000000000
885,8/22/2012 0:49,8/22/2012 21:35,2012-08-22 00:49:00,2012-08-22 21:35:00,0 days 20:46:00.000000000
892,10/15/2011 16:06,10/16/2011 12:42,2011-10-15 16:06:00,2011-10-16 12:42:00,0 days 20:36:00.000000000
893,8/5/2011 21:55,8/6/2011 18:31,2011-08-05 21:55:00,2011-08-06 18:31:00,0 days 20:36:00.000000000
